address,Latitude,Longitude,sqft,year
"10507 Harlem Road, Richmond, Texas",29.665522,-95.712784,855000.0,2021
"16225 Tomball Parkway, Building 1, Houston, Texas",29.9453419,-95.5286888,443500.0,2021
"2303 Hurricane LaneMissouri City, Houston, Texas",29.5443713,-95.4976759,1000000.0,2021
"2101 Danieldale Road, Lancaster, Texas",32.6335465,-96.7981261,823000.0,2018
"1400 Southport Parkway, Building #1, Wilmer, Texas",32.6229655,-96.6744877,1075300.0,2021
"2000 E. Pecan Street Pflugenille, Austin, Texas",30.4340972,-97.596572,823600.0,2021
"1878 Exchange Parkway Waco, Texas",31.4938595,-97.1715118,640000.0,2021
"1511 NE Loop 820 N Fort Worth, Texas",32.8421103,-97.3251839,465500.0,2021
"1851 NE Loop 820 Fort Worth, Texas",32.8382417,-97.3247463,1023500.0,2021
"1475 Akron Way Kaufman, Fomey, Texas",32.7342977,-96.4174924,1080000.0,2021
"9155 Southlink Drive Dallas, Texas",32.6373793,-96.7456494,1004000.0,2021
"E. Airfield Drive & Valley View Lane living, Dallas, Texas",32.9254693,-96.7772304,517500.0,2021
"12101 Emerald Pass Drive El Paso, Texas",31.6933863,-106.2536155,640000.0,2021
"Gateway Drive, Star Business Park Frisco, Texas",33.0978603,-97.2166336,250000.0,2021
"Building 3, Chisholm Trade Road Round Rock, Texas",30.5141005,-97.6889961,180700.0,2021
"Junction of NE 24th and N Lakeside Drive Amarillo, Texas",35.2341376,-101.738768,1000000.0,2022
"777 N. 6600 West, Salt Lake City, Utah",40.6317061,-111.8680784,855000.0,2018
"7148 Old Bingham Highway, West Jordan, Utah",40.5691257,-112.0602072,1000000.0,2020
"355 N. John Glenn Road, Salt Lake City, Utah",40.7727729,-112.0368881,503200.0,2019
"770 South Gladiola, Suite 500, Salt Lake City, Utah",40.7523861,-111.9736721,63800.0,2019
"45121 Global Plaza, Sterling, Virginia",38.9860576,-77.4398084,80900.0,2018
"5000 Commerce Way, Petersburg, Virginia",37.1947668,-77.4927818,1100000.0,2012
"1901 Meadowille Technology Parkway, Chester, Virginia",37.3520174,-77.3270581,1200000.0,2012
"4949 Commerce Road , Richmond, Virginia",37.458511,-77.427456,448300.0,2020
"165 Business Bd, Frederick, Clear Brook, Virginia",39.2564912,-78.0961109,1061000.0,2018
"6885 Commercial Dr, Springfield, Virginia",38.8002357,-77.1804678,110000.0,2019
"2020 Northgate Commerce Parkway, Suffolk, Virginia",36.8087,-76.477529,822800.0,2021
"4701 Commerce Road , Richmond, Virginia",37.4625995,-77.429577,461700.0,2021
"5901 Richmond Henrico Turnpike, Richmond, Virginia",37.602922,-77.416546,650000.0,2022
"1800 140th Avenue E., Sumner, Washington",47.238353,-122.2406228,492000.0,2011
"2700 Center Drive, DuPont, Washington",47.1124286,-122.6385319,1000000.0,2015
"21005 64th Ave. S, Kent, Washington",47.4144902,-122.2577453,860000.0,2016
"20529 24th Ave S, Seatac, Washington",47.4182957,-122.3025079,457200.0,2020
"2309 Milwaukee Way, Tacoma, Washington",47.2457391,-122.3966816,823000.0,2017
"10010 W. Geiger Blvd., West Plains, Spokane, Washington",47.6003046,-117.5534063,639000.0,2020
"18007 E. Garland Ave., ‘Spokane, Washington",47.6934732,-117.3843621,1300000.0,2021
"4620 172nd Street NE, Arlington, | Washington",48.1493139,-122.1670849,600000.0,2022
"607 Riverside Rd, Everett, Washington",48.0086875,-122.1842177,204500.0,2019
"1301 E Washington Ave, Madison, Wisconsin",43.0872143,-89.3652168,210000.0,2011
"4718 Helgesen Dr, Madison, Wisconsin",43.066654,-89.3003763,161500.0,2006
"3501 120th Ave, Kenosha, Wisconsin",42.6074246,-87.9499311,1000000.0,2015
"9700 South 13th Street, Oak Creek, Wisconsin",42.867316,-87.930661,669000.0,2020
"1255 Gateway Boulevard Rockford (Beloit), Wisconsin",42.5073306,-88.9716987,1000000.0,2020
"W232 N2950 Roundy Circle East, Pewaukee, Wisconsin",43.0733339,-88.2085301,165000.0,2021
