address,Latitude,Longitude,sqft,year
"10501 Cold Dtorage Road, jacksonville, Florida",30.4229165,-81.6266798,550000.0,2021
"7469 Kingspointe Pkwy, Orlando, Florida",28.4597057,-81.4394008,224200.0,2016
"6901 N Hiatus Rd, Building2, Tamarac, Florida",26.2082152,-80.2911445,180400.0,2021
"6337 County Road 579, Seffner, Florida",28.015168,-82.3021674,151500.0,2021
"14000 NW 37th Ave., Opa- Locka, Florida",25.9060613,-80.2578832,855000.0,2019
"12340 Boggy Creek Rd, Lake Nona, Orlando, Florida",28.3861076,-81.3143692,855000.0,2018
"2600 N Normandy Blvd, Deltona, Florida",28.9400819,-81.2597406,1000000.0,2020
"2314 Waverly Bam Rd, Davenport, Florida",28.2467834,-81.6620649,406200.0,2021
"13200 Southwest 272nd Street, Homestead, Miami, Florida",25.5144827,-80.4014507,1100000.0,2021
"8060 State Road 33 N, Lakeland, Florida",28.1516823,-81.8908099,440000.0,2020
"14490 Corporate Rd North, Jupiter, Florida",26.9081884,-80.264678,1000000.0,2021
"SW Kanner Highway 76 & SW 96th Street, Stuart, Florida",27.088013,-80.2781857,1000000.0,2022
"West side of Hiatus Road, Between NW 44th Street and NW 44th Street, Sunrise, Florida",26.1362634,-80.297268,824000.0,2022
"8725 NW 13th Terrace, Doral (Miami), Florida",25.7855772,-80.3376297,100000.0,2020
"North side of Mahan Drive between I-10 and Thornton Road, Tallahassee, Florida",30.4803482,-84.1719342,823200.0,2022
"2255 W Park Place Bivd, Stone Mountain, Georgia",33.8140623,-84.114154,640000.0,2020
"2201 Thornton Road, Lithia Springs, Georgia",33.7442714,-84.5926278,733200.0,2015
"5000 Lanier Islands Parkway, Building 1, Buford, Georgia",34.1419585,-83.9642774,815600.0,2020
"2150 Discovery Drive, Appling, Georgia",33.54609,-82.3163154,600000.0,2021
"429 Toy Wright Road, | Pendergrass, Jefferson, Georgia",34.1752162,-83.6503335,1053400.0,2020
"7055 Campbellton Road, Atlanta, Georgia",33.6941154,-84.6174439,1128400.0,2020
"5705 Campbellton-Fairbur Road, Building A, Union City (Atlanta), Georgia",33.6010261,-84.6071497,1007400.0,2021
"Majestic Airport Center IV, Buiding A, South Fulton Rd, Union City (Atlanta), Georgia",33.6190095,-84.5589577,600000.0,2021
